amount,location,merchant_type,device_type,time_of_transaction,is_fraud
82.14691152039985,Houston,Retail,Desktop,9,0.0
57.73617041378405,Phoenix,Retail,Mobile,20,0.0
54.254795517153205,Houston,Restaurant,Tablet,14,0.0
60.97767670634729,Los Angeles,Grocery,Desktop,14,0.0
38.60334143522483,Los Angeles,Restaurant,Mobile,17,0.0
40.610512281300956,Houston,Electronics,Tablet,14,0.0
59.47665841823575,New York,Online,Mobile,20,0.0
21.505036275730866,Phoenix,Grocery,Desktop,7,0.0
47.134821692716145,Los Angeles,Electronics,Tablet,22,0.0
50.12844539621876,Houston,Grocery,Desktop,22,0.0
28.44510444141388,New York,Electronics,Mobile,20,0.0
88.90390148553865,Chicago,Online,Mobile,9,0.0
10.248621707982146,Phoenix,Electronics,Mobile,12,0.0
31.472377400369233,Houston,Electronics,Mobile,15,0.0
55.31756459304097,New York,Electronics,Mobile,14,0.0
48.27860614418214,Chicago,Retail,Desktop,21,0.0
29.64471381846094,Phoenix,Restaurant,Mobile,8,0.0
60.27200213139433,Chicago,Electronics,Mobile,21,0.0
66.27961720395483,Houston,Grocery,Mobile,12,0.0
43.57514467764177,Phoenix,Grocery,Mobile,14,0.0
64.90010625754562,Phoenix,Electronics,Mobile,19,0.0
27.418964575655416,Houston,Restaurant,Mobile,19,0.0
96.40081444034519,Phoenix,Restaurant,Mobile,12,0.0
21.554925808046516,Los Angeles,Retail,Mobile,10,0.0
35.43845804289358,Phoenix,Online,Mobile,21,0.0
28.27890835763828,Phoenix,Electronics,Mobile,8,0.0
4740.76412183028,International_A,Luxury,Unknown,4,1.0
66.40316373510969,Chicago,Restaurant,Mobile,16,0.0
36.44510058950297,Phoenix,Electronics,Mobile,15,0.0
2909.446107842781,International_B,Crypto,Desktop,3,1.0
21.038313170053517,Phoenix,Grocery,Mobile,20,0.0
1637.704827553208,International_B,Luxury,Unknown,0,1.0
45.60656224324976,Phoenix,Retail,Mobile,13,0.0
67.99199750866501,Los Angeles,Grocery,Desktop,16,0.0
64.43806970876282,Houston,Grocery,Mobile,16,0.0
51.86744748553303,Los Angeles,Grocery,Mobile,17,0.0
69.9253363889428,New York,Online,Mobile,19,0.0
24.308314686000614,Chicago,Grocery,Tablet,8,0.0
80.06839656857998,Chicago,Electronics,Mobile,12,0.0
84.77702703706663,New York,Retail,Mobile,11,0.0
42.236463629175425,Houston,Online,Mobile,9,0.0
38.366381721027125,Houston,Online,Mobile,19,0.0
54.227931349413176,New York,Restaurant,Mobile,20,0.0
35.29597930473507,Phoenix,Retail,Tablet,22,0.0
28.997185207957088,Houston,Retail,Desktop,16,0.0
57.2129578287159,Phoenix,Grocery,Desktop,13,0.0
39.38997704778945,New York,Restaurant,Mobile,9,0.0
49.55399432563894,Los Angeles,Electronics,Mobile,19,0.0
34.14958523134599,New York,Restaurant,Desktop,7,0.0
68.76567611951995,New York,Grocery,Mobile,6,0.0
101.46719606499721,Phoenix,Restaurant,Desktop,8,0.0
72.38489835128192,Chicago,Restaurant,Mobile,16,0.0
32.43473494353067,Phoenix,Retail,Mobile,14,0.0
5.591579821297479,Houston,Electronics,Tablet,13,0.0
91.99443578333032,Phoenix,Grocery,Tablet,17,0.0
73.77826742949286,New York,Online,Mobile,9,0.0
58.29545781577582,Phoenix,Retail,Desktop,17,0.0
45.58060800933554,Houston,Restaurant,Mobile,19,0.0
30.70153078839791,New York,Online,Mobile,20,0.0
46.392166364751844,Phoenix,Restaurant,Desktop,12,0.0
100.98019417435444,Phoenix,Retail,Desktop,19,0.0
54.12723542650902,Chicago,Electronics,Mobile,20,0.0
38.82156305456823,Houston,Retail,Mobile,15,0.0
72.11666132589426,Phoenix,Grocery,Mobile,21,0.0
77.86362515869811,Los Angeles,Online,Desktop,21,0.0
55.81794115180012,Chicago,Retail,Tablet,10,0.0
67.45648702011269,Chicago,Restaurant,Mobile,16,0.0
3434.760516801419,International_A,Luxury,Desktop,3,1.0
46.28308495614505,New York,Online,Mobile,8,0.0
46.63712362830421,Houston,Electronics,Mobile,12,0.0
69.68644796953167,Houston,Retail,Mobile,12,0.0
43.88778771692393,Chicago,Retail,Mobile,21,0.0
55.08841686602426,New York,Grocery,Tablet,12,0.0
47.20820743689652,Chicago,Online,Mobile,9,0.0
44.969222279110085,Los Angeles,Online,Mobile,9,0.0
39.61207256347747,Phoenix,Online,Mobile,11,0.0
45.62267496528749,Los Angeles,Restaurant,Mobile,14,0.0
60.065041294990095,Chicago,Restaurant,Mobile,19,0.0
88.18833280940261,Chicago,Grocery,Mobile,20,0.0
48.889046022067625,Los Angeles,Retail,Desktop,8,0.0
76.23967477147893,Chicago,Retail,Tablet,14,0.0
58.27598194902997,Los Angeles,Restaurant,Mobile,15,0.0
39.213899710734594,Los Angeles,Electronics,Desktop,11,0.0
40.81278200919512,Chicago,Electronics,Mobile,19,0.0
51.85958493058819,Los Angeles,Online,Desktop,19,0.0
28.283497422296293,Houston,Restaurant,Mobile,10,0.0
42.98301139847051,Houston,Restaurant,Mobile,21,0.0
51.59602968117466,Los Angeles,Online,Tablet,18,0.0
63.86957823827987,Phoenix,Grocery,Mobile,9,0.0
45.830635789191845,New York,Restaurant,Mobile,13,0.0
31.28807402475148,New York,Online,Desktop,6,0.0
54.09517764803569,Los Angeles,Electronics,Mobile,16,0.0
44.166125004134464,Los Angeles,Retail,Mobile,6,0.0
73.66987333779855,Chicago,Grocery,Tablet,19,0.0
85.04540886847246,Chicago,Electronics,Mobile,11,0.0
6.077443578001073,New York,Restaurant,Mobile,8,0.0
64.44762715655543,Houston,Grocery,Mobile,8,0.0
19.696178756028957,Chicago,Online,Desktop,8,0.0
79.0655095208509,Los Angeles,Online,Mobile,15,0.0
21.03972199167512,Phoenix,Retail,Mobile,8,0.0
21.67545888414709,Los Angeles,Retail,Desktop,7,0.0
35.616933615151595,Los Angeles,Online,Desktop,22,0.0
21.873650726563323,Los Angeles,Online,Desktop,21,0.0
45.83755499285449,Phoenix,Online,Desktop,22,0.0
37.772295052227435,Phoenix,Online,Mobile,20,0.0
56.39049341565911,Los Angeles,Online,Desktop,9,0.0
43.839314316285176,New York,Electronics,Mobile,12,0.0
49.08975509397516,Houston,Electronics,Desktop,17,0.0
85.1095139663098,Chicago,Restaurant,Mobile,11,0.0
40.67926996263515,Houston,Restaurant,Mobile,14,0.0
3241.6460400624437,International_B,Crypto,Desktop,1,1.0
41.7837142409083,Houston,Restaurant,Desktop,20,0.0
49.51534332260616,Chicago,Electronics,Desktop,18,0.0
63.09951168443379,Phoenix,Electronics,Mobile,19,0.0
36.76035644406782,Los Angeles,Retail,Mobile,7,0.0
4849.487017213527,International_A,Crypto,Unknown,1,1.0
61.44780622351352,Phoenix,Retail,Mobile,17,0.0
56.46335428369563,Houston,Grocery,Mobile,9,0.0
61.59266346427151,New York,Retail,Mobile,17,0.0
37.83298470641325,Los Angeles,Restaurant,Mobile,18,0.0
67.04866669592448,Los Angeles,Grocery,Mobile,10,0.0
